,belongs_to_collection,budget,genres_x,id,imdb_id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,status_code,status_message,tagline,title,vote_average,vote_count,release_year,tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres_y,_merge
18,,13000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",238603.0,tt2183034,en,Earth to Echo,"After a construction project begins digging in their neighbourhood, best friends Tuck, Munch and Alex inexplicably begin to receive strange, encoded messages on their cell phones. Convinced something bigger is going on, they go to their parents and the authorities. The three embark on a secret adventure to crack the code and follow it to its source, and discover a mysterious being from another world who desperately needs their help. The journey that follows will change all their lives forever.",9.49,"[{'id': 10426, 'logo_path': None, 'name': 'Panay Films', 'origin_country': ''}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]",United States of America,2014-06-14,45300000.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,No one will ever believe our story.,EARTH TO ECHO,5.8,394.0,2014,tt2183034,movie,EARTH TO ECHO,0,2014,91,\N,both
21,,26000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",238615.0,tt2140379,en,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,22.334,"[{'id': 11092, 'logo_path': None, 'name': 'Ram Bergman Productions', 'origin_country': ''}, {'id': 1205, 'logo_path': None, 'name': 'Endgame Entertainment', 'origin_country': 'US'}]",United States of America,2015-07-10,30523226.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,God Created Man. Man Created Immortality.,SELF/LESS,6.3,1929.0,2015,tt2140379,movie,SELF/LESS,0,2015,117,\N,both
30,,65000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",238713.0,tt3079380,en,Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",13.296,"[{'id': 7076, 'logo_path': '/8BFxn9NUWSgp0ndih569Gm62xiC.png', 'name': 'Chernin Entertainment', 'origin_country': 'US'}, {'id': 61791, 'logo_path': '/f72ubyCeowgOQO7n4IZR18KN9Aq.png', 'name': 'Feigco Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]",United States of America,2015-05-06,235666219.0,120.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,,One of the guys. One of the Spies.,SPY,6.8,4111.0,2015,tt3079380,movie,SPY,0,2015,119,\N,both
34,"{'id': 153948, 'name': 'Best of the Best Collection', 'poster_path': '/4I3QETfSJAyehWlclsrRbqXn2sU.jpg', 'backdrop_path': '/orC5lXKZTsitJguQFVxJcEhcTc.jpg'}",5000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",238751.0,tt0096913,en,Best of the Best,A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country--can they overcome their rivalry and work together to win?,10.967,"[{'id': 808, 'logo_path': '/4L1apH72jCx6Z5qyH7UOJUDlRoF.png', 'name': 'The Movie Network', 'origin_country': 'CA'}]",United States of America,1989-11-10,1700000.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,,A team is not a team if you don't give a damn about each other.,BEST OF THE BEST,6.4,93.0,1989,tt0096913,movie,BEST OF THE BEST,0,1989,97,\N,both
50,,150000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",239019.0,tt1068953,en,House of Good and Evil,"After a family tragedy in the chaotic city, Chris and Maggie Conley, in a last-ditch effort to save their dying marriage, purchase an isolated home in the deepest woods, to which they quickly discover evil has a key.",2.743,"[{'id': 23782, 'logo_path': None, 'name': 'Suited Four Productions', 'origin_country': ''}, {'id': 23780, 'logo_path': None, 'name': 'Shooting Creek Films', 'origin_country': ''}, {'id': 13386, 'logo_path': None, 'name': 'Horrorshow', 'origin_country': ''}, {'id': 5541, 'logo_path': None, 'name': 'Chabo Films', 'origin_country': ''}, {'id': 23781, 'logo_path': None, 'name': 'PIK2 Entertainment', 'origin_country': ''}]",United States of America,2013-04-26,560000.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Some things are better kept apart.,HOUSE OF GOOD AND EVIL,4.5,23.0,2013,tt1068953,movie,HOUSE OF GOOD AND EVIL,0,2013,108,\N,both
80,,13000000.0,"[{'id': 35, 'name': 'Comedy'}]",239563.0,tt2170593,en,St. Vincent,"A young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who lives next door.",15.948,"[{'id': 7076, 'logo_path': '/8BFxn9NUWSgp0ndih569Gm62xiC.png', 'name': 'Chernin Entertainment', 'origin_country': 'US'}, {'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}, {'id': 3314, 'logo_path': None, 'name': 'Crescendo Productions', 'origin_country': ''}, {'id': 15855, 'logo_path': None, 'name': 'Goldenlight Films', 'origin_country': ''}]",United States of America,2014-10-09,54837234.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Love Thy Neighbor,ST. VINCENT,7.1,1136.0,2014,tt2170593,movie,ST. VINCENT,0,2014,102,\N,both
83,,26000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",239571.0,tt1972779,en,The Best of Me,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,8.968,"[{'id': 7295, 'logo_path': '/5MYE96QiE5a5oFhXxFb4y8ILSpw.png', 'name': 'Relativity Media', 'origin_country': 'US'}]",United States of America,2014-10-16,35926213.0,117.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,You never forget your first love.,THE BEST OF ME,7.3,1629.0,2014,tt1972779,movie,THE BEST OF ME,0,2014,118,\N,both
84,,35000000.0,"[{'id': 35, 'name': 'Comedy'}]",239573.0,tt2358925,en,Unfinished Business,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",12.214,"[{'id': 264, 'logo_path': '/fA90qwUKgPhMONqtwY60GaHRyrW.png', 'name': 'Studio Babelsberg', 'origin_country': 'DE'}, {'id': 508, 'logo_path': '/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/hNuGhsKVlmhnwSRcmOejDBDjh6w.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 1423, 'logo_path': '/9KSoL1oEQaBSPLwEhoZZRoxTzyx.png', 'name': 'Escape Artists', 'origin_country': 'US'}]",United States of America,2015-03-05,14431253.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Best business trip ever.,UNFINISHED BUSINESS,5.2,505.0,2015,tt2358925,movie,UNFINISHED BUSINESS,0,2015,91,\N,both
88,,19800000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",239678.0,tt1371150,en,This Is Where I Leave You,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways.",14.801,"[{'id': 705, 'logo_path': None, 'name': 'Spring Creek Productions', 'origin_country': ''}, {'id': 2575, 'logo_path': '/9YJrHYlcfHtwtulkFMAies3aFEl.png', 'name': '21 Laps Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]",United States of America,2014-09-10,41296320.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Welcome Home. Get Uncomfortable.,THIS IS WHERE I LEAVE YOU,6.6,734.0,2014,tt1371150,movie,THIS IS WHERE I LEAVE YOU,0,2014,103,\N,both
150,,4000000.0,"[{'id': 53, 'name': 'Thriller'}]",241251.0,tt3181822,en,The Boy Next Door,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",9.544,"[{'id': 44783, 'logo_path': None, 'name': 'Smart Entertainment', 'origin_country': ''}, {'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 1620, 'logo_path': None, 'name': 'Nuyorican Productions', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]",United States of America,2015-01-23,52425855.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,A Moment She Couldn't Resist. An Obsession He Can't Control.,THE BOY NEXT DOOR,4.5,1433.0,2015,tt3181822,movie,THE BOY NEXT DOOR,0,2015,91,\N,both
152,,5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",241258.0,tt3216348,en,Incarnate,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,12.869,"[{'id': 10339, 'logo_path': '/oiIi36MaWXwvvHWX5eojoE2Fiyv.png', 'name': 'WWE Studios', 'origin_country': 'US'}, {'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 7437, 'logo_path': '/e5CcgFrdlxMUwlsS72si8q1yHBr.png', 'name': 'IM Global', 'origin_country': 'US'}]",United States of America,2016-12-01,6341855.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Faith Has Failed Us,INCARNATE,5.3,339.0,2016,tt3216348,movie,INCARNATE,0,2016,91,\N,both
180,,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",241554.0,tt2199571,en,Run All Night,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",21.302,"[{'id': 41624, 'logo_path': '/wzKxIeQKlMP0y5CaAw25MD6EQmf.png', 'name': 'RatPac-Dune Entertainment', 'origin_country': 'US'}, {'id': 829, 'logo_path': '/mzpAmEQ5P1gFvdRoNyCk9q8ngiv.png', 'name': 'Vertigo Entertainment', 'origin_country': 'US'}, {'id': 18617, 'logo_path': None, 'name': 'Energy Entertainment', 'origin_country': ''}]",United States of America,2015-03-11,71561644.0,114.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,No sin goes unpunished,RUN ALL NIGHT,6.4,1776.0,2015,tt2199571,movie,RUN ALL NIGHT,0,2015,114,\N,both
203,,7000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",241771.0,tt3125324,en,Beyond the Lights,"Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be?",6.018,"[{'id': 42321, 'logo_path': None, 'name': 'Black Entertainment Television (BET)', 'origin_country': ''}, {'id': 7295, 'logo_path': '/5MYE96QiE5a5oFhXxFb4y8ILSpw.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 86115, 'logo_path': None, 'name': 'Relativity Sports', 'origin_country': ''}, {'id': 86116, 'logo_path': None, 'name': 'Undisputed Cinema', 'origin_country': ''}, {'id': 8840, 'logo_path': None, 'name': 'Homegrown Pictures', 'origin_country': ''}]",United States of America,2014-09-10,14618727.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,"Open your heart, find your voice.",BEYOND THE LIGHTS,7.0,256.0,2014,tt3125324,movie,BEYOND THE LIGHTS,0,2014,116,\N,both
211,,5000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",241848.0,tt2980592,en,The Guest,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",7.628,"[{'id': 2395, 'logo_path': '/pZz4qs03FtP6UGtZ3hjQ6qimcwi.png', 'name': 'HanWay Films', 'origin_country': 'GB'}, {'id': 15159, 'logo_path': None, 'name': 'Snoot Entertainment', 'origin_country': ''}]",United States of America,2014-09-17,2367161.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Be careful who you let in,THE GUEST,6.5,1022.0,2014,tt2980592,movie,THE GUEST,0,2014,100,\N,both
223,,6000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",242042.0,tt2355495,en,Barefoot,"The ""black sheep"" son of a wealthy family meets a young psychiatric patient who's been raised in isolation her entire life. He takes the naive young woman home for his brother's wedding an improbable romance blooms, as she impresses everyone with her genuine, simple charms. Remake of the German film ""Barfuss"" (2005).",10.871,"[{'id': 60250, 'logo_path': None, 'name': 'WhiteFlame Productions', 'origin_country': ''}]",United States of America,2014-02-02,15071.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,She's stepping out into the world.,BAREFOOT,6.4,361.0,2014,tt2355495,movie,BAREFOOT,0,2014,90,\N,both
237,,4000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",242095.0,tt2910814,en,The Signal,"Three college students on a road trip across the Southwest experience a detour – the tracking of a computer genius who has already hacked into MIT and exposed security faults. When the trio find themselves drawn to an eerily isolated area, suddenly everything goes dark. When one of the students regains consciousness, he finds himself in a waking nightmare.",10.539,"[{'id': 87213, 'logo_path': None, 'name': 'Signal Film Group', 'origin_country': ''}, {'id': 28286, 'logo_path': None, 'name': 'Low Spark Films', 'origin_country': 'US'}, {'id': 7625, 'logo_path': '/kzq4ibnNeZrp00zpBWv3st1QCOh.png', 'name': 'Automatik Entertainment', 'origin_country': 'US'}, {'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}]",United States of America,2014-03-15,2665322.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,R U Agitated?,THE SIGNAL,5.9,959.0,2014,tt2910814,movie,THE SIGNAL,0,2014,97,\N,both
284,,8500000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",242582.0,tt2872718,en,Nightcrawler,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",24.358,"[{'id': 24049, 'logo_path': '/zOHQ0A3PpNoLLeAxRZwSqNV3nPr.png', 'name': 'Sierra / Affinity', 'origin_country': 'US'}, {'id': 2266, 'logo_path': '/owzVs2mguyyJ3vIn7EbgowpUPnk.png', 'name': 'Bold Films', 'origin_country': 'US'}]",United States of America,2014-10-23,50300000.0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,The city shines brightest at night,NIGHTCRAWLER,7.7,6307.0,2014,tt2872718,movie,NIGHTCRAWLER,0,2014,117,\N,both
342,"{'id': 86092, 'name': 'Step Up Collection', 'poster_path': '/f4KxUp5IL5sgoDzFUL9GoUfy01C.jpg', 'backdrop_path': '/3jr0rQcsWyfqBlmzE0h0igjJohS.jpg'}",45000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",243683.0,tt2626350,en,Step Up All In,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",18.301,"[{'id': 491, 'logo_path': '/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 2378, 'logo_path': '/5xDJwLbyyt8IXuRAsR7kVibLDYF.png', 'name': 'Offspring Entertainment', 'origin_country': 'US'}]",United States of America,2014-07-16,86165646.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Every Step Has Led To This,STEP UP ALL IN,6.8,1295.0,2014,tt2626350,movie,STEP UP ALL IN,0,2014,112,\N,both
344,,35000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",243688.0,tt1029360,en,Poltergeist,"Legendary filmmaker Sam Raimi and director Gil Kenan reimagine and contemporize the classic tale about a family whose suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her.",20.331,"[{'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}, {'id': 768, 'logo_path': None, 'name': 'Ghost House Pictures', 'origin_country': 'US'}, {'id': 829, 'logo_path': '/mzpAmEQ5P1gFvdRoNyCk9q8ngiv.png', 'name': 'Vertigo Entertainment', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/mjofSXiHpG5t6KYmU4l4FrUhT7m.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]",United States of America,2015-05-20,95437994.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,,They're Here. And They Know What Scares You.,POLTERGEIST,5.1,1533.0,2015,tt1029360,movie,POLTERGEIST,0,2015,93,\N,both
367,"{'id': 313576, 'name': 'Hot Tub Time Machine Collection', 'poster_path': '/iEhb00TGPucF0b4joM1ieyY026U.jpg', 'backdrop_path': '/noeTVcgpBiD48fDjFVic1Vz7ope.jpg'}",14000000.0,"[{'id': 35, 'name': 'Comedy'}]",243938.0,tt2637294,en,Hot Tub Time Machine 2,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",14.227,"[{'id': 60, 'logo_path': '/oJXpAs4I3W46e4dkaOEzCa4yBko.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/mjofSXiHpG5t6KYmU4l4FrUhT7m.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]",United States of America,2015-02-20,12314651.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,The Laws of Space and Time are About to be Violated.,HOT TUB TIME MACHINE 2,5.1,550.0,2015,tt2637294,movie,HOT TUB TIME MACHINE 2,0,2015,93,\N,both
368,,3300000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",243940.0,tt2918436,en,The Lazarus Effect,"Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her.",19.769,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 55265, 'logo_path': None, 'name': 'Chapter One Films', 'origin_country': ''}]",United States of America,2015-01-29,64110728.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Evil will rise.,THE LAZARUS EFFECT,5.2,883.0,2015,tt2918436,movie,THE LAZARUS EFFECT,0,2015,83,\N,both
394,,5000000.0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",244403.0,tt1798243,en,Rudderless,"A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of finding some catharsis.",8.416,"[{'id': 23031, 'logo_path': None, 'name': 'Amberdale Productions', 'origin_country': ''}, {'id': 13238, 'logo_path': '/kDNZz8imH866Mezx1YhLWljoQTV.png', 'name': 'Unified Pictures', 'origin_country': 'US'}, {'id': 34846, 'logo_path': None, 'name': 'Tee Rob Pictures', 'origin_country': ''}, {'id': 4302, 'logo_path': None, 'name': 'Dog Pond Productions', 'origin_country': 'US'}]",United States of America,2014-10-17,58293.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,The way back begins with a single chord.,RUDDERLESS,7.3,161.0,2014,tt1798243,movie,RUDDERLESS,0,2014,105,\N,both
403,,1000000.0,"[{'id': 18, 'name': 'Drama'}]",244506.0,tt2994190,en,Camp X-Ray,"A young woman joins the military to be part of something bigger than herself and her small-town roots. Instead, she ends up as a new guard at Guantanamo Bay, where her mission is far from black and white. Surrounded by hostile jihadists and aggressive squadmates, she strikes up an unusual friendship with one of the detainees.",14.452,"[{'id': 51814, 'logo_path': None, 'name': 'Young Gang', 'origin_country': ''}, {'id': 3672, 'logo_path': '/5VWXJgYYrJZUE0hixvBdVfGSfmo.png', 'name': 'Gotham Group', 'origin_country': 'US'}, {'id': 6724, 'logo_path': None, 'name': 'Upload Films', 'origin_country': ''}, {'id': 7305, 'logo_path': None, 'name': 'GNK Productions', 'origin_country': ''}, {'id': 20848, 'logo_path': '/htPfdm3yNRVsDz8CyyMozALKOO0.png', 'name': 'Rough House Pictures', 'origin_country': 'US'}]",United States of America,2014-10-17,59744.0,117.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Connection takes courage,CAMP X-RAY,6.8,644.0,2014,tt2994190,movie,CAMP X-RAY,0,2014,117,\N,both
407,,6700000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",244539.0,tt1969062,en,Infinitely Polar Bear,"A manic-depressive mess of a father tries to win back his wife by attempting to take full responsibility of their two young, spirited daughters, who don't make the overwhelming task any easier.",9.626,"[{'id': 13466, 'logo_path': '/d2ewBAUkCGeYMj6bv2Z9PkzL5OA.png', 'name': 'Park Pictures Features', 'origin_country': 'US'}, {'id': 7372, 'logo_path': '/ouJZliqslZepeihJHqBYWoBNBqR.png', 'name': 'Paper Street Films', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}, {'id': 51566, 'logo_path': None, 'name': 'KGB Media', 'origin_country': ''}]",United States of America,2014-01-18,1430655.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Sometimes family is the best medicine.,INFINITELY POLAR BEAR,6.8,228.0,2014,tt1969062,movie,INFINITELY POLAR BEAR,0,2014,90,\N,both
410,,2400000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",244566.0,tt2581244,en,Life After Beth,"Zach is devastated by the unexpected death of his girlfriend, Beth. When she mysteriously returns, he gets a second chance at love. Soon his whole world turns upside down...",10.314,"[{'id': 23700, 'logo_path': None, 'name': 'Abbolita Productions', 'origin_country': ''}, {'id': 23701, 'logo_path': None, 'name': 'Starstream Entertainment', 'origin_country': ''}, {'id': 35043, 'logo_path': '/ifwiBTBDk8GQPyClmuE2yO36Qu.png', 'name': 'Destro Films', 'origin_country': 'US'}]",United States of America,2014-08-15,88273.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Be Careful What You Wish For...,LIFE AFTER BETH,5.2,373.0,2014,tt2581244,movie,LIFE AFTER BETH,0,2014,89,\N,both
421,,6000000.0,"[{'id': 18, 'name': 'Drama'}]",244783.0,tt2182972,en,Song One,"Estranged from her family, Franny returns home when an accident leaves her brother comatose. Retracing his life as an aspiring musician, she tracks down his favorite musician, James Forester. Against the backdrop of Brooklyn’s music scene, Franny and James develop an unexpected relationship and face the realities of their lives.",5.643,"[{'id': 9015, 'logo_path': None, 'name': 'Worldview Entertainment', 'origin_country': ''}]",United States of America,2015-01-22,32251.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,A moment can change everything.,SONG ONE,5.6,132.0,2015,tt2182972,movie,SONG ONE,0,2014,86,\N,both
422,,3300000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",244786.0,tt2582802,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",37.107,"[{'id': 2266, 'logo_path': '/owzVs2mguyyJ3vIn7EbgowpUPnk.png', 'name': 'Bold Films', 'origin_country': 'US'}, {'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 32157, 'logo_path': '/nBD7uzlUlpivUpOoUTg5UEZJoib.png', 'name': 'Right of Way Films', 'origin_country': 'US'}]",United States of America,2014-10-10,13092000.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,The road to greatness can take you to the edge.,WHIPLASH,8.4,8586.0,2014,tt2582802,movie,WHIPLASH,0,2014,106,\N,both
456,,19000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",245698.0,tt1596345,en,Pawn Sacrifice,American chess champion Bobby Fischer prepares for a legendary match-up against Russian Boris Spassky.,9.87,"[{'id': 54931, 'logo_path': None, 'name': 'Gail Katz Productions', 'origin_country': ''}, {'id': 24277, 'logo_path': '/mRSBVNNL2lZvJKVGjlxeUQVRc6X.png', 'name': 'PalmStar Media', 'origin_country': 'US'}]",United States of America,2015-09-16,5578519.0,115.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,On the board he fought the Cold War. In his mind he fought his madness.,PAWN SACRIFICE,6.7,482.0,2015,tt1596345,movie,PAWN SACRIFICE,0,2014,115,\N,both
